ID,SEX_WITN,AGE_WITN,SEX_PART,ACCURATE,HONEST,MEMORY,COGNITIV,SENIOR_S,SENIOR_H,ACC_Cen,AGEW_Cen,COG_Cen,HON_Cen,MEM_Cen,SENH_Cen,SENS_Cen
53,2,69,2,4,5,6,5,3,7,-.22,20,.17,-.91,1.55,1.48,-.79
57,1,69,2,2,5,3,5,1,7,-2.22,20,.17,-.91,-1.45,1.48,-2.79
65,2,69,2,5,6,5,6,2,2,.78,20,1.17,.0899999999999999,.55,-3.52,-1.79
67,1,69,2,5,6,5,6,1,3,.78,20,1.17,.0899999999999999,.55,-2.52,-2.79
74,2,69,2,4,7,5,5,1,6,-.22,20,.17,1.09,.55,.48,-2.79
88,2,69,2,4,6,4,5,6,7,-.22,20,.17,.0899999999999999,-.45,1.48,2.21
90,1,69,2,5,7,6,5,3,4,.78,20,.17,1.09,1.55,-1.52,-.79
125,2,69,2,3,6,3,4,4,6,-1.22,20,-.83,.0899999999999999,-1.45,.48,.21
143,2,69,2,4,6,4,5,1,4,-.22,20,.17,.0899999999999999,-.45,-1.52,-2.79
162,1,69,2,3,7,4,4,7,7,-1.22,20,-.83,1.09,-.45,1.48,3.21
168,2,69,2,4,7,5,5,3,4,-.22,20,.17,1.09,.55,-1.52,-.79
180,1,69,2,6,7,6,6,1,9,1.78,20,1.17,1.09,1.55,3.48,-2.79
182,1,69,2,4,5,3,6,7,8,-.22,20,1.17,-.91,-1.45,2.48,3.21
184,1,69,2,1,2,3,3,3,4,-3.22,20,-1.83,-3.91,-1.45,-1.52,-.79
213,2,69,2,5,6,5,6,3,5,.78,20,1.17,.0899999999999999,.55,-.52,-.79
216,2,69,2,5,7,5,4,9,10,.78,20,-.83,1.09,.55,4.48,5.21
217,2,69,2,3,5,3,3,10,5,-1.22,20,-1.83,-.91,-1.45,-.52,6.21
232,2,69,2,4,6,6,6,6,4,-.22,20,1.17,.0899999999999999,1.55,-1.52,2.21
234,1,69,2,5,6,4,5,8,8,.78,20,.17,.0899999999999999,-.45,2.48,4.21
235,1,69,2,4,4,3,4,2,3,-.22,20,-.83,-1.91,-1.45,-2.52,-1.79
253,1,69,2,4,5,4,6,8,9,-.22,20,1.17,-.91,-.45,3.48,4.21
257,2,69,2,4,6,4,4,4,8,-.22,20,-.83,.0899999999999999,-.45,2.48,.21
264,1,69,2,4,6,3,4,5,8,-.22,20,-.83,.0899999999999999,-1.45,2.48,1.21
266,2,69,2,6,6,6,6,1,2,1.78,20,1.17,.0899999999999999,1.55,-3.52,-2.79
8,1,79,2,5,5,4,5,7,8,.78,30,.17,-.91,-.45,2.48,3.21
15,1,79,2,4,6,4,5,3,2,-.22,30,.17,.0899999999999999,-.45,-3.52,-.79
24,2,79,2,3,5,4,5,1,5,-1.22,30,.17,-.91,-.45,-.52,-2.79
37,1,79,2,5,6,5,5,4,6,.78,30,.17,.0899999999999999,.55,.48,.21
45,2,79,2,2,6,4,4,1,1,-2.22,30,-.83,.0899999999999999,-.45,-4.52,-2.79
47,1,79,2,3,6,4,4,10,9,-1.22,30,-.83,.0899999999999999,-.45,3.48,6.21
56,1,79,2,6,6,6,6,7,5,1.78,30,1.17,.0899999999999999,1.55,-.52,3.21
61,2,79,2,3,6,3,4,1,10,-1.22,30,-.83,.0899999999999999,-1.45,4.48,-2.79
66,1,79,2,4,6,5,4,2,4,-.22,30,-.83,.0899999999999999,.55,-1.52,-1.79
70,2,79,2,2,6,3,5,1,10,-2.22,30,.17,.0899999999999999,-1.45,4.48,-2.79
73,2,79,2,3,6,3,4,2,4,-1.22,30,-.83,.0899999999999999,-1.45,-1.52,-1.79
82,1,79,2,4,6,4,5,1,1,-.22,30,.17,.0899999999999999,-.45,-4.52,-2.79
89,1,79,2,4,7,6,6,3,6,-.22,30,1.17,1.09,1.55,.48,-.79
93,2,79,2,4,6,3,5,1,2,-.22,30,.17,.0899999999999999,-1.45,-3.52,-2.79
102,1,79,2,5,6,5,5,5,9,.78,30,.17,.0899999999999999,.55,3.48,1.21
118,1,79,2,1,5,3,7,1,10,-3.22,30,2.17,-.91,-1.45,4.48,-2.79
124,2,79,2,4,7,5,3,4,7,-.22,30,-1.83,1.09,.55,1.48,.21
133,2,79,2,5,5,4,4,2,8,.78,30,-.83,-.91,-.45,2.48,-1.79
151,1,79,2,5,7,5,5,4,6,.78,30,.17,1.09,.55,.48,.21
157,2,79,2,5,5,4,4,7,3,.78,30,-.83,-.91,-.45,-2.52,3.21
167,1,79,2,4,5,4,4,4,6,-.22,30,-.83,-.91,-.45,.48,.21
186,1,79,2,6,7,5,6,4,8,1.78,30,1.17,1.09,.55,2.48,.21
187,1,79,2,3,6,4,5,2,5,-1.22,30,.17,.0899999999999999,-.45,-.52,-1.79
188,1,79,2,5,7,5,6, ,8,.78,30,1.17,1.09,.55,2.48, 
218,2,79,2,6,7,6,5,7,9,1.78,30,.17,1.09,1.55,3.48,3.21
220,2,79,2,5,6,6,6,8, ,.78,30,1.17,.0899999999999999,1.55, ,4.21
223,2,79,2,5,6,4,4,10,3,.78,30,-.83,.0899999999999999,-.45,-2.52,6.21
233,1,79,2,7,6,6,6,1,3,2.78,30,1.17,.0899999999999999,1.55,-2.52,-2.79
236,2,79,2,3,6,4,3,6,6,-1.22,30,-1.83,.0899999999999999,-.45,.48,2.21
237,1,79,2,4,6,4,5,3,3,-.22,30,.17,.0899999999999999,-.45,-2.52,-.79
242,2,79,2,4,6,5,3,4,5,-.22,30,-1.83,.0899999999999999,.55,-.52,.21
247,1,79,2,5,6,4,5,10,5,.78,30,.17,.0899999999999999,-.45,-.52,6.21
260,1,79,2,5,7,5,6,1,4,.78,30,1.17,1.09,.55,-1.52,-2.79
2,1,89,2,5,6,5,5,8,8,.78,40,.17,.0899999999999999,.55,2.48,4.21
5,2,89,2,5,6,4,5,1,2,.78,40,.17,.0899999999999999,-.45,-3.52,-2.79
16,1,89,2,5,7,5,6,2,3,.78,40,1.17,1.09,.55,-2.52,-1.79
28,1,89,2,5,7,6,6,1,9,.78,40,1.17,1.09,1.55,3.48,-2.79
38,1,89,2,5,6,4,5,2,5,.78,40,.17,.0899999999999999,-.45,-.52,-1.79
49,2,89,2,4,6,3,3,1,2,-.22,40,-1.83,.0899999999999999,-1.45,-3.52,-2.79
51,1,89,2,6,7,5,6,1,1,1.78,40,1.17,1.09,.55,-4.52,-2.79
55,1,89,2,6,7,6,6,4,2,1.78,40,1.17,1.09,1.55,-3.52,.21
63,2,89,2,3,6,4,4,2,5,-1.22,40,-.83,.0899999999999999,-.45,-.52,-1.79
64,1,89,2,4,7,4,3,3,3,-.22,40,-1.83,1.09,-.45,-2.52,-.79
69,2,89,2,3,4,3,2,1,3,-1.22,40,-2.83,-1.91,-1.45,-2.52,-2.79
72,2,89,2,6,7,5,6,4,8,1.78,40,1.17,1.09,.55,2.48,.21
